metric,estimate_type,point_estimate,bootstrap_mean,ci_lower,ci_upper,confidence_level,n_resamples,random_seed
mrr,text_metadata,0.0599745007112,0.0598060091827,0.0422894226321,0.0807943528804,0.95,5000,20260715
mrr,text_fused_alpha_0.50,0.059830890397,0.059601846387,0.0422488732049,0.0804731736059,0.95,5000,20260715
mrr,difference_b_minus_a,-0.000143610314169,-0.000204162795721,-0.0131936738005,0.0108370969991,0.95,5000,20260715
mean_rank,text_metadata,71.576744186,71.6008381395,64.1390697674,79.0141860465,0.95,5000,20260715
mean_rank,text_fused_alpha_0.50,70.1860465116,70.2556893023,62.8741860465,77.4475581395,0.95,5000,20260715
mean_rank,difference_b_minus_a,-1.39069767442,-1.34514883721,-4.53034883721,1.7911627907,0.95,5000,20260715
median_rank,text_metadata,60,59.4996,49,69,0.95,5000,20260715
median_rank,text_fused_alpha_0.50,55,55.7,46,68,0.95,5000,20260715
median_rank,difference_b_minus_a,-5,-3.7996,-11,4,0.95,5000,20260715
recall_at_1,text_metadata,0.0139534883721,0.0138576744186,0,0.0325581395349,0.95,5000,20260715
recall_at_1,text_fused_alpha_0.50,0.0139534883721,0.013856744186,0,0.0325581395349,0.95,5000,20260715
recall_at_1,difference_b_minus_a,0,-9.3023255814e-07,-0.0139534883721,0.0139534883721,0.95,5000,20260715
recall_at_5,text_metadata,0.0651162790698,0.0647627906977,0.0325581395349,0.0976744186047,0.95,5000,20260715
recall_at_5,text_fused_alpha_0.50,0.0697674418605,0.0693888372093,0.0372093023256,0.106976744186,0.95,5000,20260715
recall_at_5,difference_b_minus_a,0.0046511627907,0.00462604651163,-0.0279069767442,0.0372093023256,0.95,5000,20260715
recall_at_10,text_metadata,0.116279069767,0.115839069767,0.0744186046512,0.158139534884,0.95,5000,20260715
recall_at_10,text_fused_alpha_0.50,0.13023255814,0.129718139535,0.0883720930233,0.176744186047,0.95,5000,20260715
recall_at_10,difference_b_minus_a,0.0139534883721,0.0138790697674,-0.0233720930233,0.0558139534884,0.95,5000,20260715
