museum,field,available,non_empty,total,coverage,unique_non_empty
MET,id_fuente,True,127,127,1.0,127
MET,titulo_original,True,127,127,1.0,58
MET,titulo_es_sugerido,True,30,127,0.23622047244094488,6
MET,cultura,True,127,127,1.0,14
MET,fecha_objeto,True,30,127,0.23622047244094488,19
MET,procedencia,True,30,127,0.23622047244094488,5
MET,tipo_objeto,True,30,127,0.23622047244094488,6
MET,tipo_superficie,True,30,127,0.23622047244094488,1
MET,material,True,127,127,1.0,11
MET,material_normalizado,True,30,127,0.23622047244094488,5
MET,tecnica,True,29,127,0.2283464566929134,3
MET,url_objeto,True,127,127,1.0,127
MET,url_imagen,True,127,127,1.0,124
CMA,id_objeto,True,88,88,1.0,88
CMA,numero_acceso,True,0,88,0.0,0
CMA,titulo_original,True,88,88,1.0,55
CMA,cultura,True,88,88,1.0,43
CMA,periodo,True,88,88,1.0,41
CMA,clasificacion_original,True,88,88,1.0,4
CMA,nombre_objeto_original,True,88,88,1.0,4
CMA,tecnica_original,True,88,88,1.0,65
CMA,material_original,True,0,88,0.0,0
CMA,descripcion_original,True,0,88,0.0,0
CMA,tipo_objeto_manual,True,88,88,1.0,4
CMA,cultura_manual,True,88,88,1.0,43
CMA,periodo_manual,True,88,88,1.0,41
CMA,notas_iconograficas,True,0,88,0.0,0
CMA,notas_tecnicas,True,0,88,0.0,0
CMA,url_objeto,True,88,88,1.0,88
CMA,url_imagen,True,88,88,1.0,88
